Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level,location_standardized,location_name,formatted_address,latitude,longitude,conditions,precip,visibility,humidity,cloudcover,sunrise,sunset,weather_condition_label,visibility_level
Duplication Road Bambalapitiya,2025-03-08,07:23,Serious Injury,Single Vehicle Crash,Reckless Driving,1,Lorry,26-35,0,2,High,"Duplication Road Bambalapitiya, Colombo, Sri Lanka","Duplication Road Bambalapitiya, Colombo, Sri Lanka","450 E R. A. De Mel Mawatha, Colombo 00200, Sri Lanka",6.9024028,79.8545389,Clear,0.0,5.6,70.0,8.9,2025-03-08T06:20:28,2025-03-08T18:22:34,Clear,Moderate
Ibbanwala Junction,2025-02-23,08:01,Fatal,Multi-vehicle Collision,Driver Fatigue,4,Lorry; Motorcycle; Bicycle; Van,26-35,2,4,Moderate,"Ibbanwala Junction, Colombo, Sri Lanka","Ibbanwala Junction, Colombo, Sri Lanka","Ibbanwala, Colombo, Sri Lanka",6.917642,79.8597831,Clear,0.0,6.5,68.4,11.0,2025-02-23T06:25:27,2025-02-23T18:22:45,Clear,Good
Beira Lake Road Colombo 02,2025-11-07,08:47,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,26-35,0,2,Low,"Beira Lake Road Colombo 02, Colombo, Sri Lanka","Beira Lake Road Colombo 02, Colombo, Sri Lanka","Beira Lake, Colombo, Sri Lanka",6.929434499999999,79.8541822,"Rain, Partially cloudy",0.068,6.8,77.9,39.3,2025-11-07T05:58:59,2025-11-07T17:49:40,Light Rain,Good
Maradana Junction,2024-03-24,16:46,Minor Injury,Multi-vehicle Collision,Overspeeding,3,Car; Motorcycle; Three Wheeler,26-35,0,2,Low,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428,Partially cloudy,0.008,6.3,84.8,49.9,2024-03-24T06:12:46,2024-03-24T18:21:05,Partially Cloudy,Good
Pettah Market Area,2022-12-01,11:08,Minor Injury,Rear-end Collision,Reckless Driving,2,Motorcycle; Car,18-25,0,3,Low,"Pettah Market Area, Colombo, Sri Lanka","Pettah Market Area, Colombo, Sri Lanka","WVP3+VMM, Keyzer St, Colombo 01100, Sri Lanka",6.937201699999999,79.854187,Clear,0.004,8.6,78.7,19.7,2022-12-01T06:07:07,2022-12-01T17:52:07,Clear,Good
Duplication Road Bambalapitiya,2024-10-06,23:28,Serious Injury,Side-impact Collision,Driver Negligence,2,Bus; Car,18-25,0,2,High,"Duplication Road Bambalapitiya, Colombo, Sri Lanka","Duplication Road Bambalapitiya, Colombo, Sri Lanka","450 E R. A. De Mel Mawatha, Colombo 00200, Sri Lanka",6.9024028,79.8545389,Partially cloudy,0.0,5.9,83.2,55.0,2024-10-06T05:57:56,2024-10-06T17:59:30,Partially Cloudy,Moderate
"Junction of De Saram Road and Hospital Road, Dehiwela",2022-10-02,19:53,Minor Injury,Multi-vehicle Collision,Overspeeding,3,Three Wheeler; Van; Lorry,26-35,0,2,Moderate,"Junction of De Saram Road and Hospital Road, Dehiwela, Colombo, Sri Lanka","Junction of De Saram Road and Hospital Road, Dehiwela, Colombo, Sri Lanka","Hospital Rd, Colombo, Sri Lanka",6.8648594,79.8703535,Partially cloudy,0.0,8.5,78.2,32.8,2022-10-02T05:58:28,2022-10-02T18:01:42,Partially Cloudy,Good
Sea Street Kotahena,2023-01-01,22:59,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Three Wheeler,36-45,0,1,Low,"Sea Street Kotahena, Colombo, Sri Lanka","Sea Street Kotahena, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501,Partially cloudy,0.0,8.3,69.3,33.5,2023-01-01T06:22:13,2023-01-01T18:05:53,Partially Cloudy,Good
Narahenpita Junction,2024-11-30,12:55,Minor Injury,Pedestrian Collision,Driver Negligence,1,Lorry,26-35,0,1,Low,"Narahenpita Junction, Colombo, Sri Lanka","Narahenpita Junction, Colombo, Sri Lanka","Narahenpita, Colombo 00500, Sri Lanka",6.8899209,79.8826281,Overcast,0.008,3.7,93.5,98.5,2024-11-30T06:06:55,2024-11-30T17:51:59,Overcast,Moderate
Borella Junction,2025-09-23,21:22,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Bicycle,26-35,0,2,Low,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481,"Rain, Partially cloudy",0.12,8.1,74.0,27.9,2025-09-23T05:59:48,2025-09-23T18:06:20,Light Rain,Good
Maya Avenue Junction,2024-02-03,09:15,Minor Injury,Pedestrian Collision,Poor Visibility,1,Motorcycle,26-35,0,2,Moderate,"Maya Avenue Junction, Colombo, Sri Lanka","Maya Avenue Junction, Colombo, Sri Lanka","Maya Ave, Colombo 00500, Sri Lanka",6.8798254,79.870857,"Rain, Partially cloudy",0.101,5.4,82.4,30.3,2024-02-03T06:29:18,2024-02-03T18:19:41,Light Rain,Moderate
Union Place Slave Island,2025-05-07,09:53,Serious Injury,Multi-vehicle Collision,Driver Negligence,2,Three Wheeler; Van,26-35,0,2,Moderate,"Union Place Slave Island, Colombo, Sri Lanka","Union Place Slave Island, Colombo, Sri Lanka","Union Pl, Colombo, Sri Lanka",6.9203664,79.8578057,"Rain, Partially cloudy",0.086,7.1,85.2,72.1,2025-05-07T05:55:22,2025-05-07T18:19:17,Light Rain,Good
Borella Junction,2024-12-21,07:19,Minor Injury,Rear-end Collision,Driver Fatigue,2,Bicycle; Three Wheeler,36-45,0,3,Moderate,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481,Partially cloudy,0.007,6.6,85.5,62.8,2024-12-21T06:17:20,2024-12-21T18:00:32,Partially Cloudy,Good
Mattakkuliya Junction,2022-11-18,18:14,Serious Injury,Rear-end Collision,Distracted Driving,1,Car,18-25,0,2,Low,"Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Brg, Colombo, Sri Lanka",6.9805611,79.875318,Clear,0.0,7.7,76.0,11.4,2022-11-18T06:01:54,2022-11-18T17:49:37,Clear,Good
High Level Road Maharagama,2022-10-20,07:28,Minor Injury,Rear-end Collision,Distracted Driving,1,Motorcycle,26-35,0,3,Low,"High Level Road Maharagama, Colombo, Sri Lanka","High Level Road Maharagama, Colombo, Sri Lanka","High Level Rd, Maharagama, Sri Lanka",6.8491609,79.9243239,"Rain, Partially cloudy",0.051,8.2,80.7,32.5,2022-10-20T05:57:07,2022-10-20T17:53:48,Light Rain,Good
Havelock Place Area,2024-03-30,18:21,Serious Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Car,26-35,0,6,High,"Havelock Place Area, Colombo, Sri Lanka","Havelock Place Area, Colombo, Sri Lanka","Havelock Pl, Colombo 00500, Sri Lanka",6.8854515,79.8658603,"Rain, Partially cloudy",0.076,14.7,77.6,32.5,2024-03-30T06:09:49,2024-03-30T18:20:25,Light Rain,Good
Fort Railway Station Area,2023-10-29,12:17,Minor Injury,Motorcycle Collision,Distracted Driving,3,Motorcycle; Lorry; Car,56+,0,2,Moderate,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999,"Rain, Partially cloudy",1.233,8.3,86.5,58.0,2023-10-29T05:57:32,2023-10-29T17:51:13,Light Rain,Good
Sea Street Kotahena,2025-11-12,03:40,Minor Injury,Rear-end Collision,Driver Negligence,1,Car,18-25,0,1,Low,"Sea Street Kotahena, Colombo, Sri Lanka","Sea Street Kotahena, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501,"Rain, Partially cloudy",0.365,7.0,80.0,33.7,2025-11-12T06:00:11,2025-11-12T17:49:25,Light Rain,Good
Grandpass Junction,2024-12-26,13:51,Minor Injury,Side-impact Collision,Unsafe Lane Change,2,Bus; Bicycle,26-35,0,1,Low,"Grandpass Junction, Colombo, Sri Lanka","Grandpass Junction, Colombo, Sri Lanka","Grandpass Rd, Colombo, Sri Lanka",6.9432514,79.8685531,Partially cloudy,0.004,6.5,79.4,25.0,2024-12-26T06:19:46,2024-12-26T18:03:04,Partially Cloudy,Good
Darley Road Cinnamon Gardens,2025-02-24,06:40,Minor Injury,Pedestrian Collision,Driver Negligence,2,Bus; Motorcycle,36-45,0,1,Low,"Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Rd, Colombo, Sri Lanka",6.9228616,79.8620451,Clear,0.0,6.5,66.9,11.9,2025-02-24T06:25:07,2025-02-24T18:22:47,Clear,Good
Madampitiya Road,2024-02-25,20:18,Serious Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Bicycle,46-55,0,2,High,"Madampitiya Road, Colombo, Sri Lanka","Madampitiya Road, Colombo, Sri Lanka","Madampitiya Rd, Colombo, Sri Lanka",6.9624445,79.8714976,Partially cloudy,0.0,5.6,83.0,28.4,2024-02-25T06:25:02,2024-02-25T18:22:47,Partially Cloudy,Moderate
"No. 09 Station Road, Maharagama",2024-12-26,11:14,Minor Injury,Pedestrian Collision,Distracted Driving,1,Motorcycle,18-25,0,1,Moderate,"No. 09 Station Road, Maharagama, Colombo, Sri Lanka","No. 09 Station Road, Maharagama, Colombo, Sri Lanka","9 Station Rd, Colombo 00400, Sri Lanka",6.893399199999999,79.8545163,Partially cloudy,0.004,6.5,79.4,25.0,2024-12-26T06:19:46,2024-12-26T18:03:04,Partially Cloudy,Good
Fort Railway Station Area,2024-06-20,17:32,Minor Injury,Motorcycle Collision,Poor Visibility,4,Motorcycle; Bus; Three Wheeler; Bicycle,46-55,0,2,Low,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999,"Rain, Partially cloudy",0.369,7.0,82.9,84.2,2024-06-20T05:56:39,2024-06-20T18:28:06,Light Rain,Good
Baseline Road Borella,2023-02-23,17:14,Fatal,Motorcycle Collision,Driver Negligence,4,Motorcycle; Van; Three Wheeler; Bicycle,26-35,2,6,High,"Baseline Road Borella, Colombo, Sri Lanka","Baseline Road Borella, Colombo, Sri Lanka","Baseline Rd, Colombo, Sri Lanka",6.919902,79.8776917,Partially cloudy,0.0,8.1,71.1,45.2,2023-02-23T06:25:36,2023-02-23T18:22:43,Partially Cloudy,Good
Bambalapitiya Railway Station Area,2025-01-06,09:47,Minor Injury,Multi-vehicle Collision,Driver Negligence,3,Three Wheeler; Car; Motorcycle,26-35,0,1,Moderate,"Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station, Colombo, Sri Lanka",6.8936984,79.8529574,Partially cloudy,0.0,6.9,72.7,41.9,2025-01-06T06:24:27,2025-01-06T18:08:44,Partially Cloudy,Good
Union Place,2025-04-17,08:51,Serious Injury,Side-impact Collision,Driver Negligence,1,Car,18-25,0,5,High,"Union Place, Colombo, Sri Lanka","Union Place, Colombo, Sri Lanka","Union Place, Colombo, Sri Lanka",6.922958299999999,79.8523572,Partially cloudy,0.0,6.4,74.7,24.2,2025-04-17T06:01:43,2025-04-17T18:18:56,Partially Cloudy,Good
Maharagama Junction,2024-10-21,22:49,Serious Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,26-35,0,4,High,"Maharagama Junction, Colombo, Sri Lanka","Maharagama Junction, Colombo, Sri Lanka","Maharagama, Sri Lanka",6.851095099999999,79.92120109999999,Partially cloudy,0.0,5.9,89.8,66.7,2024-10-21T05:57:09,2024-10-21T17:53:18,Partially Cloudy,Moderate
Wellawatte Junction,2023-08-18,05:40,Minor Injury,Rear-end Collision,Driver Fatigue,1,Lorry,18-25,0,4,Low,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934,Partially cloudy,0.008,8.2,75.7,50.0,2023-08-18T06:04:41,2023-08-18T18:24:35,Partially Cloudy,Good
Pettah Clock Tower Area,2023-05-31,02:18,Minor Injury,Rear-end Collision,Driver Fatigue,2,Motorcycle; Car,18-25,0,3,Low,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385,"Rain, Partially cloudy",0.278,8.1,79.7,49.5,2023-05-31T05:53:34,2023-05-31T18:23:10,Light Rain,Good
"No. 56 Baseline Road, Dematagoda, Colombo 09",2024-11-22,09:30,Serious Injury,Single Vehicle Crash,Driver Negligence,1,Lorry,56+,0,6,High,"No. 56 Baseline Road, Dematagoda, Colombo 09, Colombo, Sri Lanka","No. 56 Baseline Road, Dematagoda, Colombo 09, Colombo, Sri Lanka","56 Baseline Rd, Colombo 00900, Sri Lanka",6.9279503,79.8779919,"Rain, Partially cloudy",0.15,6.8,86.5,77.3,2024-11-22T06:03:33,2024-11-22T17:50:12,Light Rain,Good
Liberty Plaza Area,2025-08-25,22:00,Serious Injury,Pedestrian Collision,Distracted Driving,2,Car; Van,36-45,0,3,High,"Liberty Plaza Area, Colombo, Sri Lanka","Liberty Plaza Area, Colombo, Sri Lanka","300 Srimath Anagarika Dharmapala Mawatha, Colombo 00300, Sri Lanka",6.9118996,79.85130869999999,Partially cloudy,0.0,7.1,78.5,69.8,2025-08-25T06:04:08,2025-08-25T18:21:26,Partially Cloudy,Good
Hulftsdorp Junction,2022-05-07,23:21,Fatal,Side-impact Collision,Driver Fatigue,2,Bicycle; Three Wheeler,56+,1,1,High,"Hulftsdorp Junction, Colombo, Sri Lanka","Hulftsdorp Junction, Colombo, Sri Lanka","Hultsdorf St, Colombo, Sri Lanka",6.9375553,79.8608161,"Rain, Partially cloudy",0.213,7.8,78.9,25.6,2022-05-07T05:55:23,2022-05-07T18:19:14,Light Rain,Good
Panchikawatte,2023-05-14,09:58,Serious Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Car,18-25,0,3,Moderate,"Panchikawatte, Colombo, Sri Lanka","Panchikawatte, Colombo, Sri Lanka","Panchikawatta, Colombo 01000, Sri Lanka",6.9309682,79.8639835,"Rain, Partially cloudy",0.592,7.8,84.8,72.4,2023-05-14T05:54:12,2023-05-14T18:19:59,Light Rain,Good
Dematagoda Junction,2024-03-23,09:39,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Car,18-25,0,2,Low,"Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Pl, Colombo, Sri Lanka",6.9293231,79.8764195,"Rain, Partially cloudy",0.024,5.9,82.2,39.8,2024-03-23T06:13:15,2024-03-23T18:21:11,Light Rain,Moderate
Dematagoda Junction,2025-06-16,17:18,Minor Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Three Wheeler,36-45,0,1,Low,"Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Pl, Colombo, Sri Lanka",6.9293231,79.8764195,"Rain, Partially cloudy",0.184,6.2,85.5,33.3,2025-06-16T05:55:48,2025-06-16T18:27:09,Light Rain,Good
Bambalapitiya Junction,2023-08-06,12:43,Minor Injury,Pedestrian Collision,Reckless Driving,2,Three Wheeler; Motorcycle,26-35,0,2,Low,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468,Partially cloudy,0.0,8.1,79.6,63.2,2023-08-06T06:04:45,2023-08-06T18:28:31,Partially Cloudy,Good
Liberty Plaza Area,2025-10-14,11:07,Minor Injury,Side-impact Collision,Driver Negligence,1,Bicycle,36-45,0,2,Low,"Liberty Plaza Area, Colombo, Sri Lanka","Liberty Plaza Area, Colombo, Sri Lanka","300 Srimath Anagarika Dharmapala Mawatha, Colombo 00300, Sri Lanka",6.9118996,79.85130869999999,"Rain, Partially cloudy",0.422,7.2,80.1,27.9,2025-10-14T05:57:19,2025-10-14T17:56:02,Light Rain,Good
Fort Railway Station Area,2022-07-03,17:07,Fatal,Side-impact Collision,Overspeeding,2,Three Wheeler; Car,56+,1,3,High,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999,"Rain, Partially cloudy",0.04,7.7,80.0,37.8,2022-07-03T05:59:29,2022-07-03T18:30:20,Light Rain,Good
Sea Street Junction,2024-12-19,15:36,Minor Injury,Multi-vehicle Collision,Reckless Driving,2,Three Wheeler; Van,18-25,0,3,Moderate,"Sea Street Junction, Colombo, Sri Lanka","Sea Street Junction, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501,"Rain, Partially cloudy",0.637,5.9,86.2,57.4,2024-12-19T06:16:20,2024-12-19T17:59:33,Light Rain,Moderate
Galle Road Fort,2025-02-19,19:46,Minor Injury,Multi-vehicle Collision,Driver Negligence,3,Car; Three Wheeler; Bus,36-45,0,3,Low,"Galle Road Fort, Colombo, Sri Lanka","Galle Road Fort, Colombo, Sri Lanka","Galle Buck Rd, Colombo, Sri Lanka",6.9363912,79.8415204,Clear,0.0,5.7,68.7,17.8,2025-02-19T06:26:39,2025-02-19T18:22:31,Clear,Moderate
Narahenpita Junction,2025-12-05,18:55,Fatal,Side-impact Collision,Reckless Driving,2,Motorcycle; Three Wheeler,18-25,1,4,High,"Narahenpita Junction, Colombo, Sri Lanka","Narahenpita Junction, Colombo, Sri Lanka","Narahenpita, Colombo 00500, Sri Lanka",6.8899209,79.8826281,"Rain, Partially cloudy",0.147,6.5,85.5,44.5,2025-12-05T06:09:10,2025-12-05T17:53:30,Light Rain,Good
Bambalapitiya Junction,2022-02-08,01:19,Minor Injury,Multi-vehicle Collision,Reckless Driving,4,Car; Motorcycle; Bicycle; Three Wheeler,26-35,0,4,Low,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468,Clear,0.0,7.1,74.4,8.7,2022-02-08T06:28:52,2022-02-08T18:20:57,Clear,Good
Ibbanwala Junction,2025-05-08,09:05,Fatal,Rear-end Collision,Overspeeding,2,Motorcycle; Car,36-45,1,3,Low,"Ibbanwala Junction, Colombo, Sri Lanka","Ibbanwala Junction, Colombo, Sri Lanka","Ibbanwala, Colombo, Sri Lanka",6.917642,79.8597831,"Rain, Partially cloudy",0.256,6.0,90.4,78.3,2025-05-08T05:55:09,2025-05-08T18:19:23,Light Rain,Moderate
D R Wijewardena Mawatha Fort,2024-06-07,08:22,Minor Injury,Multi-vehicle Collision,Distracted Driving,3,Three Wheeler; Bus; Car,46-55,0,1,Low,"D R Wijewardena Mawatha Fort, Colombo, Sri Lanka","D R Wijewardena Mawatha Fort, Colombo, Sri Lanka","McCallum Rd, Colombo, Sri Lanka",6.9324236,79.8505139,"Rain, Partially cloudy",0.047,6.9,83.3,75.5,2024-06-07T05:54:20,2024-06-07T18:25:01,Light Rain,Good
Kotahena Junction,2024-03-15,09:41,Minor Injury,Rear-end Collision,Overspeeding,1,Motorcycle,18-25,0,2,Low,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776,Partially cloudy,0.0,5.5,78.2,29.2,2024-03-15T06:17:08,2024-03-15T18:22:00,Partially Cloudy,Moderate
"Junction of High Level Road and Pagoda Road, Nugegoda",2024-04-14,18:27,Minor Injury,Rear-end Collision,Overspeeding,4,Three Wheeler; Van; Motorcycle; Car,36-45,0,2,Moderate,"Junction of High Level Road and Pagoda Road, Nugegoda, Colombo, Sri Lanka","Junction of High Level Road and Pagoda Road, Nugegoda, Colombo, Sri Lanka","Pagoda Rd, Nugegoda, Sri Lanka",6.8792979,79.8947089,Partially cloudy,0.004,5.7,85.4,44.4,2024-04-14T06:02:51,2024-04-14T18:19:05,Partially Cloudy,Moderate
Kotahena Street Colombo 13,2024-01-28,21:18,Fatal,Rear-end Collision,Reckless Driving,2,Three Wheeler; Car,46-55,1,1,High,"Kotahena Street Colombo 13, Colombo, Sri Lanka","Kotahena Street Colombo 13, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776,Partially cloudy,0.0,7.3,71.6,40.6,2024-01-28T06:29:13,2024-01-28T18:17:53,Partially Cloudy,Good
Kollupitiya Flyover Approach,2023-12-31,00:58,Minor Injury,Multi-vehicle Collision,Overspeeding,2,Three Wheeler; Motorcycle,18-25,0,2,Moderate,"Kollupitiya Flyover Approach, Colombo, Sri Lanka","Kollupitiya Flyover Approach, Colombo, Sri Lanka","Kollupitiya, Colombo, Sri Lanka",6.912815399999999,79.8506815,"Rain, Partially cloudy",0.3,7.6,80.7,51.8,2023-12-31T06:21:41,2023-12-31T18:05:15,Light Rain,Good
Wellawatte Junction,2022-03-05,04:45,Minor Injury,Head-on Collision,Unsafe Lane Change,2,Motorcycle; Bicycle,56+,0,4,Moderate,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934,Clear,0.0,7.4,80.9,10.8,2022-03-05T06:21:49,2022-03-05T18:22:42,Clear,Good
Liberty Plaza Area,2025-03-01,11:58,Minor Injury,Rear-end Collision,Driver Fatigue,2,Lorry; Car,36-45,0,3,Low,"Liberty Plaza Area, Colombo, Sri Lanka","Liberty Plaza Area, Colombo, Sri Lanka","300 Srimath Anagarika Dharmapala Mawatha, Colombo 00300, Sri Lanka",6.9118996,79.85130869999999,Partially cloudy,0.004,7.2,82.2,39.9,2025-03-01T06:23:20,2025-03-01T18:22:49,Partially Cloudy,Good
Wellawatte Junction,2025-01-18,19:09,Minor Injury,Multi-vehicle Collision,Failure to Yield,3,Three Wheeler; Bicycle; Car,36-45,0,2,Low,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934,"Rain, Partially cloudy",0.02,6.3,83.4,67.7,2025-01-18T06:27:58,2025-01-18T18:14:22,Light Rain,Good
Mutwal Road Mutwal,2023-05-20,17:38,Serious Injury,Side-impact Collision,Driver Negligence,1,Three Wheeler,26-35,0,4,High,"Mutwal Road Mutwal, Colombo, Sri Lanka","Mutwal Road Mutwal, Colombo, Sri Lanka","Muthuwella Mawatha, Colombo, Sri Lanka",6.9640994,79.8649458,"Rain, Partially cloudy",1.025,8.0,84.2,67.0,2023-05-20T05:53:36,2023-05-20T18:20:55,Light Rain,Good
"Junction of Front Street and Dam Street, Colombo 12",2025-03-27,10:59,Fatal,Rear-end Collision,Overspeeding,2,Car; Three Wheeler,18-25,1,5,High,"Junction of Front Street and Dam Street, Colombo 12, Colombo, Sri Lanka","Junction of Front Street and Dam Street, Colombo 12, Colombo, Sri Lanka","Dam St, Colombo, Sri Lanka",6.9379068,79.8573875,"Rain, Partially cloudy",0.054,6.1,77.8,40.0,2025-03-27T06:11:25,2025-03-27T18:20:47,Light Rain,Good
Bauddhaloka Mawatha Cinnamon Gardens,2023-11-17,07:59,Fatal,Motorcycle Collision,Failure to Yield,2,Motorcycle; Bus,26-35,1,3,Low,"Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo 00700, Sri Lanka",6.901932,79.8694402,"Rain, Partially cloudy",0.351,7.8,87.8,61.2,2023-11-17T06:01:30,2023-11-17T17:49:32,Light Rain,Good
Union Place,2025-11-04,19:31,Minor Injury,Head-on Collision,Driver Fatigue,2,Bus; Motorcycle,18-25,0,2,Low,"Union Place, Colombo, Sri Lanka","Union Place, Colombo, Sri Lanka","Union Place, Colombo, Sri Lanka",6.922958299999999,79.8523572,"Rain, Partially cloudy",0.072,7.4,70.0,23.2,2025-11-04T05:58:25,2025-11-04T17:50:00,Light Rain,Good
Havelock Town Junction,2022-04-09,21:40,Minor Injury,Pedestrian Collision,Reckless Driving,1,Motorcycle,18-25,0,2,Low,"Havelock Town Junction, Colombo, Sri Lanka","Havelock Town Junction, Colombo, Sri Lanka","Havelock Town, Colombo, Sri Lanka",6.886651899999999,79.8646835,"Rain, Partially cloudy",0.203,7.7,91.1,31.8,2022-04-09T06:05:16,2022-04-09T18:19:28,Light Rain,Good
Union Place,2024-05-30,14:43,Minor Injury,Multi-vehicle Collision,Unsafe Lane Change,3,Bicycle; Van; Motorcycle,26-35,0,4,Low,"Union Place, Colombo, Sri Lanka","Union Place, Colombo, Sri Lanka","Union Place, Colombo, Sri Lanka",6.922958299999999,79.8523572,"Rain, Partially cloudy",0.106,6.8,76.3,80.7,2024-05-30T05:53:34,2024-05-30T18:23:07,Light Rain,Good
Pamankada Junction,2023-11-07,16:23,Serious Injury,Side-impact Collision,Driver Fatigue,3,Motorcycle; Three Wheeler; Bus,36-45,0,4,High,"Pamankada Junction, Colombo, Sri Lanka","Pamankada Junction, Colombo, Sri Lanka","Pamankada Ln, Colombo, Sri Lanka",6.8756803,79.8676529,"Rain, Partially cloudy",2.446,7.8,88.3,59.4,2023-11-07T05:58:52,2023-11-07T17:49:41,Light Rain,Good
